concentration_wt,nominal_drive_frequency_hz,mean_actual_drive_frequency_hz,std_actual_drive_frequency_hz,mean_measured_gamma_g,std_measured_gamma_g,n_runups,run_ids,plot_error_gamma_g,nu_m2_s,mu_pa_s,depth_mm,rho_kg_m3,surface_tension_N_per_m,rect_mode_theory_gamma_g,continuous_min_theory_gamma_g,absolute_error_gamma_g
70,17.0,17.199999999999946,0.0,0.30946313182168084,0.09864913422261087,3,may29_70wt_17Hz_runup_IMG_0006; may29_70wt_17Hz_runup_IMG_0007; may29_70wt_17Hz_runup_IMG_0009,0.09864913422261087,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674,0.2516108317126042,0.2515324511567231,0.05793068066495771
70,20.0,20.399999999999935,0.0,0.38432195406142095,0.020310294779623886,4,may29_70wt_20Hz_runup_IMG_0011; may29_70wt_20Hz_runup_IMG_0013; may29_70wt_20Hz_runup_IMG_0014; may29_70wt_20Hz_runup_IMG_0015,0.020310294779623886,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674,0.30027644252499336,0.29706725272510937,0.08725470133631158
70,22.0,22.235714285714213,0.08017837257372752,0.5234985597261967,0.03755653700410002,7,jun2_70wt_22Hz_runup_IMG_0021; jun2_70wt_22Hz_runup_IMG_0022; jun2_70wt_22Hz_runup_IMG_0023; may29_70wt_22Hz_runup_IMG_0016; may29_70wt_22Hz_runup_IMG_0018; may29_70wt_22Hz_runup_IMG_0019; may29_70wt_22Hz_runup_IMG_0020,0.03755653700410002,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674,0.3324534438180093,0.33138195804460596,0.19211660168159078
70,25.0,25.183333333333252,0.02581988897471829,0.6304158108830286,0.05449554171081711,6,jun2_70wt_25Hz_runup_IMG_0025; jun2_70wt_25Hz_runup_IMG_0026; may29_70wt_25Hz_runup_IMG_0021; may29_70wt_25Hz_runup_IMG_0022; may29_70wt_25Hz_runup_IMG_0023; may29_70wt_25Hz_runup_IMG_0024,0.05449554171081711,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674,0.3983929070883253,0.39757394649159816,0.2328418643914304
70,27.0,27.24999999999991,0.0,0.797670688921792,0.014020092466730652,4,may29_70wt_27Hz_runup_IMG_0001-2; may29_70wt_27Hz_runup_IMG_0002; may29_70wt_27Hz_runup_IMG_0003; may29_70wt_27Hz_runup_IMG_0027,0.014020092466730652,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674,0.45158466323625784,0.4512892323378804,0.3463814565839117
70,30.0,30.364285714285614,0.10690449676496845,0.9600227222065517,0.0414793277426737,7,jun2_70wt_30Hz_runup_IMG_0001; jun2_70wt_30Hz_runup_IMG_0002; jun2_70wt_30Hz_runup_IMG_0027; may29_70wt_30Hz_runup_IMG_0005; may29_70wt_30Hz_runup_IMG_0007; may29_70wt_30Hz_runup_IMG_0008; may29_70wt_30Hz_runup_IMG_0009,0.0414793277426737,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674,0.54218824580844,0.5421706164535719,0.4178521057529798
80,15.0,15.349999999999952,0.0,0.612342657026241,0.021389815672164844,3,may27_80wt_15Hz_runup_IMG_0012; may27_80wt_15Hz_runup_IMG_0013; may27_80wt_15Hz_runup_IMG_0014,0.021389815672164844,3.755547996427609e-05,0.0453504008884691,4.968707560928089,1207.5574837975128,0.0668384615384615,0.6161930407801589,0.6150501554371867,0.0027074984109456413
80,17.0,17.41666666666661,0.02886751345948221,0.6651608149822562,0.011696393536415477,3,may27_80wt_17Hz_runup_IMG_0015; may27_80wt_17Hz_runup_IMG_0016; may27_80wt_17Hz_runup_IMG_0017,0.011696393536415477,3.755547996427609e-05,0.0453504008884691,4.968707560928089,1207.5574837975128,0.0668384615384615,0.6738721532632027,0.6725124641917116,0.007351649209455413
80,20.0,20.099999999999937,0.0,0.783686041495078,0.025850022491306853,4,jun2_80wt_20Hz_runup_IMG_0003; jun2_80wt_20Hz_runup_IMG_0004; jun2_80wt_20Hz_runup_IMG_0005; jun2_80wt_20Hz_runup_IMG_0006,0.025850022491306853,3.755547996427609e-05,0.0453504008884691,4.968707560928089,1207.5574837975128,0.0668384615384615,0.7713904831571974,0.7698171703594022,0.013868871135675809
80,22.0,22.64999999999993,0.0,1.0083923819466694,0.032612423826399596,3,may27_80wt_22Hz_runup_IMG_0027; may27_80wt_22Hz_runup_IMG_0028; may27_80wt_22Hz_runup_IMG_0029,0.032612423826399596,3.755547996427609e-05,0.0453504008884691,4.968707560928089,1207.5574837975128,0.0668384615384615,0.8853138955897968,0.8846111653451738,0.12378121660149555
