run_id,img,summary_path,drive_frequency_hz,subharmonic_frequency_hz,mode_rank,kx_rad_per_m,ky_rad_per_m,k_rad_per_m,kx_abs_rad_per_m,ky_abs_rad_per_m,wavelength_mm,angle_deg,power,dispersion_theory_k_rad_per_m,dispersion_theory_lambda_mm,rect_m,rect_n,rect_kx_rad_per_m,rect_ky_rad_per_m,rect_k_rad_per_m,rect_lambda_mm,delta_kx_rad_per_m,delta_ky_rad_per_m,component_distance_rad_per_m,radial_delta_k_rad_per_m,radial_error_percent,component_error_percent,fourier_dkx_rad_per_m,fourier_dky_rad_per_m,k_half_bin_error_rad_per_m,selected_grid_iy,selected_grid_ix,grid_peak_kx_rad_per_m,grid_peak_ky_rad_per_m,subbin_kx_rad_per_m,subbin_ky_rad_per_m,subbin_k_rad_per_m,subbin_wavelength_mm,subbin_fit_center_error_rad_per_m,peak_width_sigma_rad_per_m,local_peak_fit_method,local_peak_effective_points,local_peak_window_points,local_peak_power
jun8_40wt_37Hz_stable_IMG_0051_full_fsss_no_lens_roi734_500_no_affine,51,outputs/full_fsss_diagnostics/Jun8_40wt_37Hz_stable_IMG_0051_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,37.07499999999988,18.53749999999994,2,-491.8112386962157,159.83865257627005,517.1331447173964,491.8112386962157,159.83865257627005,12.150034031590124,161.99583839408663,0.0029582903755413,513.7765938982566,12.229411346877836,16.0,5.0,502.6548245743669,157.07963267948963,526.6268922782152,11.930999725437871,-10.84358587815126,2.7590198967804156,11.18908153011996,-9.49374756081886,-1.8027464415553136,2.124669608442405,122.95280969222206,159.83865259988866,63.470289873905664,21.0,22.0,-491.81123876888824,159.83865259988866,-426.80464588941106,214.22816399355435,477.5519992637815,13.15707046953225,3.538464928095035,65.95452819979853,quadratic,4.82000588753505,9.0,0.002888478352251601
jun8_40wt_37Hz_stable_IMG_0055_full_fsss_no_lens_roi734_500_no_affine,55,outputs/full_fsss_diagnostics/Jun8_40wt_37Hz_stable_IMG_0055_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,37.07499999999988,18.53749999999994,5,491.8112386962157,-159.83865257627005,517.1331447173964,491.8112386962157,159.83865257627005,12.150034031590124,-18.004161605913378,0.001577564590727,513.7765938982566,12.229411346877836,16.0,5.0,502.6548245743669,157.07963267948963,526.6268922782152,11.930999725437871,-10.84358587815126,2.7590198967804156,11.18908153011996,-9.49374756081886,-1.8027464415553136,2.124669608442405,122.95280969222206,159.83865259988866,63.470289873905664,19.0,30.0,491.81123876888824,-159.83865259988866,442.45686785618386,-216.35287072146207,492.52070472470723,12.757200350981288,34.196111994840166,65.06865479414647,quadratic,4.136571698871205,9.0,0.0015785923260258439
jun8_40wt_40Hz_stable_IMG_0027_full_fsss_no_lens_roi734_500_no_affine,27,outputs/full_fsss_diagnostics/Jun8_40wt_40Hz_stable_IMG_0027_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,40.07499999999988,20.03749999999994,1,245.90561934810785,-479.5159577288102,538.8925007304839,245.90561934810785,479.5159577288102,11.659440980645586,-62.850318302216834,0.0022355155352792,549.6496732682931,11.43125451129425,8.0,15.0,251.32741228718345,471.2388980384689,534.0707511102647,11.764705882352942,-5.42179293907563,8.277059690341275,9.894723633921402,4.82174962021918,0.9028297487168844,1.8526990316079917,122.95280969222206,159.83865259988866,76.4467147791223,17.0,28.0,245.90561938444412,-479.515957799666,233.62744293273616,-421.3691116267535,481.80256363411803,13.04099600422851,6.484035288717305,88.0350661942484,quadratic,4.808796474843833,9.0,0.002261582289981933
jun8_40wt_40Hz_stable_IMG_0042_full_fsss_no_lens_roi734_500_no_affine,42,outputs/full_fsss_diagnostics/Jun8_40wt_40Hz_stable_IMG_0042_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,40.199999999999875,20.099999999999937,4,491.8112386962157,159.83865257627005,517.1331447173964,491.8112386962157,159.83865257627005,12.150034031590124,18.004161605913378,0.0016937420558035,551.1180379291498,11.400797786965803,16.0,5.0,502.6548245743669,157.07963267948963,526.6268922782152,11.930999725437871,-10.84358587815126,2.7590198967804156,11.18908153011996,-9.49374756081886,-1.8027464415553136,2.124669608442405,122.95280969222206,159.83865259988866,63.470289873905664,21.0,30.0,491.81123876888824,159.83865259988866,491.81123876888824,159.83865259988866,517.1331447938106,12.15003402979477,33.45234853440559,68.57859001705265,grid_center_fallback,4.202656332428096,9.0,0.0016817149296585161
jun8_40wt_40Hz_stable_IMG_0043_full_fsss_no_lens_roi734_500_no_affine,43,outputs/full_fsss_diagnostics/Jun8_40wt_40Hz_stable_IMG_0043_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,40.24999999999987,20.124999999999936,1,245.90561934810785,479.5159577288102,538.8925007304839,245.90561934810785,479.5159577288102,11.659440980645586,62.850318302216834,0.0019514694271809,551.7048154866329,11.388672222549811,8.0,15.0,251.32741228718345,471.2388980384689,534.0707511102647,11.764705882352942,-5.42179293907563,8.277059690341275,9.894723633921402,4.82174962021918,0.9028297487168844,1.8526990316079917,122.95280969222206,159.83865259988866,76.4467147791223,23.0,28.0,245.90561938444412,479.515957799666,191.2302605096187,484.0403814164372,520.4460619279837,12.07269257433447,12.35961460333633,84.8858775279189,quadratic,4.164469392582477,9.0,0.00181579200538335
jun8_40wt_42Hz_stable_IMG_0054_full_fsss_no_lens_roi734_500_no_affine,54,outputs/full_fsss_diagnostics/Jun8_40wt_42Hz_stable_IMG_0054_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,42.17499999999987,21.087499999999935,5,-122.95280967405392,639.3546103050802,651.0696668752931,122.95280967405392,639.3546103050802,9.650557577555029,100.88552705465874,0.0003677585152511,574.0548255856431,10.945270429125936,4.0,18.0,125.66370614359172,565.4866776461628,579.2810627295166,10.846522890932809,-2.710896469537815,73.86793265891743,73.91765983153763,71.7886041457765,12.392706885240734,12.760241027601475,122.95280969222206,159.83865259988866,79.3353491926232,24.0,25.0,-122.95280969222206,639.3546103995546,-123.79973254058777,560.35297576281,573.8656909272042,10.9488777714307,4.977575352360216,82.34510121180357,quadratic,3.0859511988682846,9.0,0.0003528888454947896
jun8_40wt_45Hz_stable_IMG_0029_full_fsss_no_lens_roi734_500_no_affine,29,outputs/full_fsss_diagnostics/Jun8_40wt_45Hz_stable_IMG_0029_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,45.024999999999885,22.512499999999942,4,-368.8584290221617,479.5159577288102,604.9728046592469,368.8584290221617,479.5159577288102,10.385897116017658,127.56859202882752,0.0008868401637681,606.3290600905507,10.362665622923036,12.0,15.0,376.99111843077515,471.2388980384689,603.4802419302534,10.411584125907073,-8.13268940861343,8.277059690341275,11.603893921199274,1.4925627289934482,0.2473258650887115,1.922829135894126,122.95280969222206,159.83865259988866,73.60485573458271,23.0,23.0,-368.85842907666614,479.515957799666,-368.85842907666614,479.515957799666,604.9728047486408,10.385897114482983,45.83902630462807,77.20418216084765,grid_center_fallback,2.8366835202892666,9.0,0.0009696247370201143
jun8_40wt_45Hz_stable_IMG_0045_full_fsss_no_lens_roi734_500_no_affine,45,outputs/full_fsss_diagnostics/Jun8_40wt_45Hz_stable_IMG_0045_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,45.17499999999987,22.587499999999935,4,-614.7640483702696,0.0,614.7640483702696,614.7640483702696,0.0,10.220482677599996,180.0,0.0009616621911943,608.0022466925338,10.334148173562566,18.0,0.0,565.4866776461628,0.0,565.4866776461628,11.11111111111111,49.277370724106845,0.0,49.277370724106845,49.277370724106845,8.714152370348282,8.714152370348282,122.95280969222206,159.83865259988866,61.476404837026955,20.0,21.0,-614.7640484611103,0.0,-594.0028259962816,2.8791559418497052,594.0098036484804,10.577578465182727,4.420159039822654,55.976158396705024,quadratic,3.729530791194471,9.0,0.0009094869890032398
jun8_40wt_47Hz_stable_IMG_0050_full_fsss_no_lens_roi734_500_no_affine,50,outputs/full_fsss_diagnostics/Jun8_40wt_47Hz_stable_IMG_0050_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,47.22499999999987,23.612499999999937,1,122.95280967405392,639.3546103050802,651.0696668752931,122.95280967405392,639.3546103050802,9.650557577555029,79.11447294534126,0.0004372421823286,630.6283057189924,9.963373432811578,4.0,18.0,125.66370614359172,565.4866776461628,579.2810627295166,10.846522890932809,-2.710896469537815,73.86793265891743,73.91765983153763,71.7886041457765,12.392706885240734,12.760241027601475,122.95280969222206,159.83865259988866,79.3353491926232,24.0,27.0,122.95280969222206,639.3546103995546,171.61860392245956,592.4997476479517,616.8540314978743,10.185854329139191,5.103962722079711,82.07815028008673,quadratic,4.078885178854226,9.0,0.0004099597781753299
jun8_40wt_50Hz_stable_IMG_0046_full_fsss_no_lens_roi734_500_no_affine,46,outputs/full_fsss_diagnostics/Jun8_40wt_50Hz_stable_IMG_0046_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,50.27499999999987,25.137499999999935,1,122.95280967405392,639.3546103050802,651.0696668752931,122.95280967405392,639.3546103050802,9.650557577555029,79.11447294534126,3.068341810079227e-05,663.5076218647484,9.469650536223035,4.0,18.0,125.66370614359172,565.4866776461628,579.2810627295166,10.846522890932809,-2.710896469537815,73.86793265891743,73.91765983153763,71.7886041457765,12.392706885240734,12.760241027601475,122.95280969222206,159.83865259988866,79.3353491926232,24.0,27.0,122.95280969222206,639.3546103995546,165.3319839793359,616.9963402609026,638.7637660527488,9.836477334972573,0.4121924920958954,78.5293567157343,quadratic,4.09165385155051,9.0,2.8470430135362804e-05
