run_id,summary_path,drive_frequency_hz,expected_subharmonic_hz,selected_frequency_hz,mode_source,mode_rank,q_cycles_per_m,k_rad_per_m,wavelength_mm,angle_deg,power,theory_q_cycles_per_m,theory_k_rad_per_m,theory_wavelength_mm,wavelength_error_percent,dispersion_predicted_frequency_hz,dispersion_frequency_error_percent,liquid_depth_m,density_kg_m3,surface_tension_N_per_m,frames,timebase_fps_mean,fourier_dkx_rad_per_m,fourier_dky_rad_per_m,kx_abs_rad_per_m,ky_abs_rad_per_m,k_half_bin_error_rad_per_m
jun8_40wt_37Hz_stable_IMG_0051_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_37Hz_stable_IMG_0051_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,37.07499999999988,18.53749999999994,18.502500000000403,selected_2d_mode_closest_to_theory,2,82.3042962184301,517.1331447173964,12.150034031590124,161.99583839408663,0.0029582903755413,81.63447061121835,512.9245063037908,12.2497272599766,-0.813840392285327,18.6756563752204,0.7452805136639878,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,491.8112386962157,159.83865257627,63.47028988328438
jun8_40wt_37Hz_stable_IMG_0055_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_37Hz_stable_IMG_0055_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,37.07499999999988,18.53749999999994,18.502500000000403,selected_2d_mode_closest_to_theory,5,82.3042962184301,517.1331447173964,12.150034031590124,-18.004161605913378,0.001577564590727,81.63447061121835,512.9245063037908,12.2497272599766,-0.813840392285327,18.6756563752204,0.7452805136639878,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,491.8112386962157,159.83865257627005,63.47028988328438
jun8_40wt_40Hz_stable_IMG_0027_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_40Hz_stable_IMG_0027_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,40.07499999999988,20.03749999999994,19.637499999999424,selected_2d_mode_closest_to_theory,1,85.76740528640934,538.8925007304839,11.659440980645586,-62.850318302216834,0.0022355155352792,85.97606041281286,540.2035195549702,11.6311447070093,0.2432802131610823,19.58226779953396,-2.271901187603161,0.0063746582511135,1098.0980060480797,0.06935,284,201.24444444444447,122.95280969222206,159.83865259988866,245.9056193481078,479.5159577288102,76.44671479041847
jun8_40wt_40Hz_stable_IMG_0042_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_40Hz_stable_IMG_0042_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,40.199999999999875,20.099999999999937,20.01499999999936,selected_2d_mode_closest_to_theory,4,82.3042962184301,517.1331447173964,12.150034031590124,18.004161605913378,0.0016937420558035,87.3952520880089,549.1205638366336,11.442269186350975,6.185528706870603,18.6756563752204,-7.08628669044547,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,491.8112386962157,159.83865257627005,63.47028988328438
jun8_40wt_40Hz_stable_IMG_0043_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_40Hz_stable_IMG_0043_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,40.24999999999987,20.124999999999936,20.034999999999357,selected_2d_mode_closest_to_theory,1,85.76740528640934,538.8925007304839,11.659440980645586,62.850318302216834,0.0019514694271809,87.47010783641333,549.5908963751663,11.432477045417627,1.9852559889366277,19.58226779953396,-2.6968059650483425,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,245.9056193481078,479.5159577288102,76.44671479041847
jun8_40wt_42Hz_stable_IMG_0054_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_42Hz_stable_IMG_0054_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,42.17499999999987,21.087499999999935,20.99749999999936,selected_2d_mode_closest_to_theory,5,103.62095578039651,651.0696668752931,9.650557577555029,100.88552705465874,0.0003677585152511,91.03415147375723,571.9844429914723,10.984888460110202,-12.146967967864,24.55569433271861,16.44668326126227,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,122.95280967405391,639.3546103050803,79.33534920434624
jun8_40wt_45Hz_stable_IMG_0029_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_45Hz_stable_IMG_0029_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,45.024999999999885,22.512499999999942,22.422499999999363,selected_2d_mode_closest_to_theory,4,96.28441229768676,604.9728046592469,10.385897116017658,127.56859202882752,0.0008868401637681,96.1801934259805,604.3179781758114,10.397151059688728,-0.1082406479088614,22.451787302927915,-0.2696843845509271,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,368.8584290221621,479.51595772881,73.60485574545896
jun8_40wt_45Hz_stable_IMG_0045_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_45Hz_stable_IMG_0045_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,45.17499999999987,22.587499999999935,22.48749999999936,selected_2d_mode_closest_to_theory,4,97.84273713331343,614.7640483702696,10.220482677599996,180.0,0.0009616621911943,96.41141458303775,605.7707835525426,10.372215824493628,-1.4628807331150886,22.891717877188324,1.346841736307189,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,614.7640483702696,7.528688240675194e-14,61.47640484611103
jun8_40wt_47Hz_stable_IMG_0050_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_47Hz_stable_IMG_0050_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,47.22499999999987,23.612499999999937,23.50749999999936,selected_2d_mode_closest_to_theory,1,103.62095578039651,651.0696668752931,9.650557577555029,79.11447294534126,0.0004372421823286,100.00193524632948,628.3306902292618,9.999806479112156,-3.4925566038367863,24.55569433271861,3.994470440312016,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,122.95280967405384,639.3546103050803,79.33534920434624
jun8_40wt_50Hz_stable_IMG_0046_full_fsss_no_lens_roi734_500_no_affine,outputs/full_fsss_diagnostics/Jun8_40wt_50Hz_stable_IMG_0046_no_lens_roi734_500_no_affine/reconstruction/drive_aware_spectral_analysis/drive_aware_summary.json,50.27499999999987,25.137499999999935,25.02249999999936,selected_2d_mode_closest_to_theory,1,103.62095578039651,651.0696668752931,9.650557577555029,79.11447294534126,3.068341810079227e-05,105.21083568576248,661.0591769368685,9.504724427688616,1.5343227568132092,24.55569433271861,-2.314492957857097,0.0063746582511135,1098.0980060480797,0.06935,500,240.3371462974112,122.95280969222206,159.83865259988866,122.95280967405384,639.3546103050803,79.33534920434624
